"CBO ID","Occupation","Course ID","Course"
2132,"Chemists","442Q01","Chemistry"
2342,"Science Professors","442Q01","Chemistry"
2321,"High School Teachers","145F21","Chemistry teacher education"
2311,"Elementary School Teachers",142E03,"Childhood Education"
2311,"Elementary School Teachers","143F02","Childhood teacher education"
2321,"High School Teachers","145F04","Civics teacher education"
2331,"Vocational Teachers","146F06","Civil construction teacher education"
2332,"Vocational Instructors","146F06","Civil construction teacher education"
1413,"Construction Managers",582E03,"Civil engineering"
2032,"Engineering Researchers",582E03,"Civil engineering"
2142,"Civil Engineers",582E03,"Civil engineering"
2343,"Architecture and Engineering Professors",582E03,"Civil engineering"
2543,"Labor Inspectors",582E03,"Civil engineering"
2032,"Engineering Researchers",523E08,"Communication networks engineering"
2123,"IT Managers",523E08,"Communication networks engineering"
2143,"Electrical Engineers",523E08,"Communication networks engineering"
2343,"Architecture and Engineering Professors",523E08,"Communication networks engineering"
2123,"IT Managers","523S01","Communication systems"
2032,"Engineering Researchers",523E05,"Communications engineering"
2343,"Architecture and Engineering Professors",523E05,"Communications engineering"
2141,"Architects and Planners","581D02","Community development"
2033,"Health Science Researchers","727F04","Compounding pharmacy"
8103,"Pharmacuetical Production Supervisors","727F04","Compounding pharmacy"
8103,"Pharmacuetical Production Supervisors","727F04","Compounding pharmacy"
2031,"Natural Science Researchers","461M03","Computational mathematics"
2111,"Mathematicians","461M03","Computational mathematics"
2341,"Math Professors","461M03","Computational mathematics"
2321,"High School Teachers","146F05","Computer (IT) teacher education"
2031,"Natural Science Researchers","481A02","Computer architecture"
2122,"Computer Engineers","481A02","Computer architecture"
2032,"Engineering Researchers",523E04,"Computer engineering"
2122,"Computer Engineers",523E04,"Computer engineering"
2343,"Architecture and Engineering Professors",523E04,"Computer engineering"
2031,"Natural Science Researchers",481E01,"Computer engineering (hardware)"
2122,"Computer Engineers",481E01,"Computer engineering (hardware)"
2341,"Math Professors",481E01,"Computer engineering (hardware)"
2031,"Natural Science Researchers","481C02","Computer graphics"
2123,"IT Managers","523R01","Computer networks"
2031,"Natural Science Researchers","483P02","Computer programming"
2124,"Information Analysts","483P02","Computer programming"
2031,"Natural Science Researchers","481C01","Computer science"
2122,"Computer Engineers","481C01","Computer science"
2341,"Math Professors","481C01","Computer science"
2031,"Natural Science Researchers","481T03","Computer technology"
2124,"Information Analysts","481T03","Computer technology"
2032,"Engineering Researchers",582E04,"Construction engineering"
2142,"Civil Engineers",582E04,"Construction engineering"
2343,"Architecture and Engineering Professors",582E04,"Construction engineering"
2142,"Civil Engineers","582C05","Construction of buildings"
2142,"Civil Engineers","582C06","Construction of roads"
2142,"Civil Engineers","582T01","Construction technology"
2032,"Engineering Researchers",523E11,"Control and automation engineering"
2143,"Electrical Engineers",523E11,"Control and automation engineering"
2343,"Architecture and Engineering Professors",523E11,"Control and automation engineering"
2032,"Engineering Researchers",523E06,"Control engineering"
2343,"Architecture and Engineering Professors",523E06,"Control engineering"
2145,"Chemical Engineers","524R01","Crude oil refining"
2034,"Agricultural Researchers","624C03","Crustaceans and mollusks farming"
2621,"Producers","213P07","Cultural Production"
2622,"Directors","213P07","Cultural Production"
2035,"Social Sciences Researchers","225H03","Culture history"
2033,"Health Science Researchers","721C05","Cytology"
2211,"Biologists","721C05","Cytology"
2231,"Doctors","721C05","Cytology"
2344,"Health Science Professors","721C05","Cytology"
2222,"Food Engineers","541I02","Dairy industries"
2623,"Scenographers","212D01","Dance (art)"
2628,"Other Dancers","212D01","Dance (art)"
2321,"High School Teachers","146F07","Dance (art) teacher education"
2349,"Art Professors","146F07","Dance (art) teacher education"
2031,"Natural Science Researchers","483P01","Data processing"
2124,"Information Analysts","483P01","Data processing"
2031,"Natural Science Researchers","482S04","Data processing software"
2123,"IT Managers","523T02","Data transmission technology"
2031,"Natural Science Researchers","481B01","Database"
2123,"IT Managers","481B01","Database"
2331,"Vocational Teachers","146F33","Decoration (interior design) teacher education"
2332,"Vocational Instructors","146F33","Decoration (interior design) teacher education"
2349,"Art Professors","146F33","Decoration (interior design) teacher education"
2232,"Dentists","724H01","Dental hygiene"
2033,"Health Science Researchers","724C01","Dental science"
2232,"Dentists","724C01","Dental science"
2515,"Psychologists","311P03","Development psychology"
2143,"Electrical Engineers","523T03","Digital technology"
2321,"High School Teachers","146F22","Dramaturgy (performing arts) teacher education"
2349,"Art Professors","146F22","Dramaturgy (performing arts) teacher education"
2321,"High School Teachers","145F03","Drawing teacher education"
2349,"Art Professors","145F03","Drawing teacher education"
2031,"Natural Science Researchers","482C01","E-commerce"
2124,"Information Analysts","482C01","E-commerce"
2142,"Civil Engineers","582T05","Earth moving and paving technology"
2031,"Natural Science Researchers","443C01","Earth science"
2030,"Biology Researchers",422E01,"Ecology"
2035,"Social Sciences Researchers",314E02,"Economics"
2348,"Economics Professors",314E02,"Economics"
2512,"Economists",314E02,"Economics"
2031,"Natural Science Researchers","482S02","Editing and publishing software"
2611,"Journalists","321P01","Editorial production"
2616,"Editors","321P01","Editorial production"
2031,"Natural Science Researchers","483I01","Educational computing"
2394,"Other Educators","142O01","Educational Guidance"
2394,"Other Educators","142P02","Educational research"
2523,"Executives","346S04","Educational secretary training"
2394,"Other Educators","142S01","Educational supervision"
2032,"Engineering Researchers",522E06,"Electrical engineering"
2143,"Electrical Engineers",522E06,"Electrical engineering"
2343,"Architecture and Engineering Professors",522E06,"Electrical engineering"
2032,"Engineering Researchers",522E07,"Electrical industrial engineering"
2143,"Electrical Engineers",522E07,"Electrical industrial engineering"
2343,"Architecture and Engineering Professors",522E07,"Electrical industrial engineering"
2143,"Electrical Engineers","522T03","Electrical maintenance technology"
2032,"Engineering Researchers",522E05,"Electrical production engineering"
2143,"Electrical Engineers",522E05,"Electrical production engineering"
2343,"Architecture and Engineering Professors",522E05,"Electrical production engineering"
2143,"Electrical Engineers","522T01","Electrical technology"
2331,"Vocational Teachers","146F16","Electricity teacher education"
2332,"Vocational Instructors","146F16","Electricity teacher education"
2144,"Mechanical Engineers","521T01","Electromechanic technology"
2032,"Engineering Researchers",523E09,"Electronic engineering"
2143,"Electrical Engineers",523E09,"Electronic engineering"
2343,"Architecture and Engineering Professors",523E09,"Electronic engineering"
2123,"IT Managers","523S03","Electronic systems (experimental)"
2143,"Electrical Engineers","523T06","Electronic technology"
2331,"Vocational Teachers","146F28","Electronics teacher education"
2332,"Vocational Instructors","146F28","Electronics teacher education"
2032,"Engineering Researchers",522E09,"Electrotechnical engineering"
2143,"Electrical Engineers",522E09,"Electrotechnical engineering"
2343,"Architecture and Engineering Professors",522E09,"Electrotechnical engineering"
2143,"Electrical Engineers","522T02","Electrotechnical technology"
2012,"Metrologist",520E01,"Engineering"
2032,"Engineering Researchers",520E01,"Engineering"
2343,"Architecture and Engineering Professors",520E01,"Engineering"
2343,"Architecture and Engineering Professors",520E01,"Engineering"
2624,"Visual Artists","211G01","Engraving (artistic)"
2140,"Environmental Engineers","850M01","Environment"
2032,"Engineering Researchers",520E09,"Environmental and sanitation engineering"
2343,"Architecture and Engineering Professors",520E09,"Environmental and sanitation engineering"
2030,"Biology Researchers","421B14","Environmental biology"
2344,"Health Science Professors","421B14","Environmental biology"
2032,"Engineering Researchers",520E02,"Environmental engineering"
2140,"Environmental Engineers",520E02,"Environmental engineering"
2343,"Architecture and Engineering Professors",520E02,"Environmental engineering"
2030,"Biology Researchers","422C01","Environmental sciences"
2331,"Vocational Teachers","146F37","Environmental sciences teacher education"
2332,"Vocational Instructors","146F37","Environmental sciences teacher education"
2034,"Agricultural Researchers","621M04","Equine management"
2523,"Executives","346S03","Executive secretary training"
2525,"Financial Analysts","343F02","Executives training for financial institutions"
2532,"Marketing Consutants","343F02","Executives training for financial institutions"
2533,"Stockbrokers","343F02","Executives training for financial institutions"
2614,"Linguists","222L02","Extinct/classical languages"
2624,"Visual Artists","214D02","Fashion design"
2621,"Producers","213P01","Film production"
2622,"Directors","213P01","Film production"
2525,"Financial Analysts","343F01","Finance, banking, insurance"
2532,"Marketing Consutants","343F01","Finance, banking, insurance"
2533,"Stockbrokers","343F01","Finance, banking, insurance"
2525,"Financial Analysts","343N01","Financial affairs"
2532,"Marketing Consutants","343N01","Financial affairs"
2533,"Stockbrokers","343N01","Financial affairs"
2525,"Financial Analysts","343A01","Financial analysis"
2532,"Marketing Consutants","343A01","Financial analysis"
2533,"Stockbrokers","343A01","Financial analysis"
2525,"Financial Analysts","343T01","Financial theory"
2532,"Marketing Consutants","343T01","Financial theory"
2533,"Stockbrokers","343T01","Financial theory"
1221,"Agricultural COOs",624E01,"Fishing engineering"
2034,"Agricultural Researchers",624E01,"Fishing engineering"
2221,"Agricultural Engineers",624E01,"Fishing engineering"
2034,"Agricultural Researchers","624C01","Fishing science and technology"
2222,"Food Engineers","541P04","Food and beverages processing"
2031,"Natural Science Researchers","442Q08","Food chemistry"
2132,"Chemists","442Q08","Food chemistry"
2145,"Chemical Engineers",541E01,"Food engineering"
2222,"Food Engineers",541E01,"Food engineering"
2222,"Food Engineers","541P01","Food preparation"
2222,"Food Engineers","541I01","Food processing industries"
2222,"Food Engineers","541H01","Food sanitation / handling"
2222,"Food Engineers","541C03","Food studies"
2145,"Chemical Engineers","541T01","Food technology"
2222,"Food Engineers","541T01","Food technology"
2321,"High School Teachers","145F13","Foreign language/classical literature teacher education"
2321,"High School Teachers","145F14","Foreign language/modern literature teacher education"
2034,"Agricultural Researchers",623E01,"Forest engineering"
2221,"Agricultural Engineers",623E01,"Forest engineering"
2034,"Agricultural Researchers","621F01","Fruit growing"
2711,"Chefs","811G01","Gastronomy"
2711,"Chefs","811G02","Gastronomy (technologist)"
2033,"Health Science Researchers","721M02","General medicine"
2231,"Doctors","721M02","General medicine"
2251,"Clinicians","721M02","General medicine"
2252,"Surgeons","721M02","General medicine"
2253,"Doctors in Diagnostics and Therapy","721M02","General medicine"
2344,"Health Science Professors","721M02","General medicine"
2011,"Biotechnologist","421G01","Genetics"
2030,"Biology Researchers","421G01","Genetics"
2211,"Biologists","421G01","Genetics"
2344,"Health Science Professors","421G01","Genetics"
2031,"Natural Science Researchers","443G04","Geography"
2347,"Humanities Professors","443G04","Geography"
2513,"Geographers","443G04","Geography"
2031,"Natural Science Researchers","443G05","Geography (nature)"
2321,"High School Teachers","145F10","Geography teacher education"
2032,"Engineering Researchers",544E06,"Geological engineering"
2343,"Architecture and Engineering Professors",544E06,"Geological engineering"
2031,"Natural Science Researchers","443G06","Geology"
2134,"Geologists","443G06","Geology"
2343,"Architecture and Engineering Professors","443G06","Geology"
2343,"Architecture and Engineering Professors","443G06","Geology"
2331,"Vocational Teachers","146F18","Geology teacher education"
2332,"Vocational Instructors","146F18","Geology teacher education"
2031,"Natural Science Researchers","443G03","Geophysics"
2134,"Geologists","443G03","Geophysics"
2343,"Architecture and Engineering Professors","443G03","Geophysics"
2343,"Architecture and Engineering Professors","443G03","Geophysics"
2033,"Health Science Researchers","721G01","Gerontology"
2231,"Doctors","721G01","Gerontology"
2344,"Health Science Professors","721G01","Gerontology"
2624,"Visual Artists","213C06","Graphic creation"
2611,"Journalists","213P06","Graphic Design"
2033,"Health Science Researchers","720S01","Health (programs and general courses)"
2033,"Health Science Researchers","721H02","Histology"
2211,"Biologists","721H02","Histology"
2231,"Doctors","721H02","Histology"
2344,"Health Science Professors","721H02","Histology"
2035,"Social Sciences Researchers","225H01","History"
2321,"High School Teachers","145F11","History teacher education"
2347,"Humanities Professors","145F11","History teacher education"
2516,"Social Workers",814E02,"Home economics"
2034,"Agricultural Researchers","622H01","Horticulture"
1415,"Hospitality Managers","811H02","Hotel"
2331,"Vocational Teachers","146F14","Household economics teacher education"
2332,"Vocational Instructors","146F14","Household economics teacher education"
2035,"Social Sciences Researchers","311R01","Human relations"
1232,"Human Resource Directors","345G09","Human resources management"
1422,"Human Resource Managers","345G09","Human resources management"
2524,"Human Resources Professionals","345G09","Human resources management"
2031,"Natural Science Researchers","443H02","Hydrology"
2134,"Geologists","443H02","Hydrology"
2030,"Biology Researchers","421B12","Industrial biochemistry"
2344,"Health Science Professors","421B12","Industrial biochemistry"
2031,"Natural Science Researchers","442Q04","Industrial chemistry"
2132,"Chemists","442Q04","Industrial chemistry"
2143,"Electrical Engineers",523E03,"Industrial electronics"
2032,"Engineering Researchers",520E06,"Industrial engineering"
2149,"Production Engineers",520E06,"Industrial engineering"
2343,"Architecture and Engineering Professors",520E06,"Industrial engineering"
2031,"Natural Science Researchers","461M04","Industrial mathematics"
2111,"Mathematicians","461M04","Industrial mathematics"
2033,"Health Science Researchers","727F05","Industrial pharmacy"
8103,"Pharmacuetical Production Supervisors","727F05","Industrial pharmacy"
8103,"Pharmacuetical Production Supervisors","727F05","Industrial pharmacy"
2149,"Production Engineers","520P01","Industrial processes"
2149,"Production Engineers","520P02","Industrial production"
2611,"Journalists","321I01","Information (writing and content)"
2616,"Editors","321I01","Information (writing and content)"
2612,"Librarians","322C01","Information science"
2612,"Librarians","322B02","Information search"
2031,"Natural Science Researchers","483S01","Information security"
2124,"Information Analysts","483S01","Information security"
2031,"Natural Science Researchers","483S02","Information systems"
2124,"Information Analysts","483S02","Information systems"
2031,"Natural Science Researchers","481T01","Information technology"
2124,"Information Analysts","481T01","Information technology"
2531,"Public Relations","342C01","Institutional communication"
2525,"Financial Analysts","343S01","Insurance"
2532,"Marketing Consutants","343S01","Insurance"
2533,"Stockbrokers","343S01","Insurance"
2141,"Architects and Planners","581A03","Interior architecture"
2629,"Interior Designer","214D01","Interior decorating"
2629,"Interior Designer","214D06","Interior design"
2035,"Social Sciences Researchers","313R01","International relations"
2614,"Linguists","222I01","Interpreter"
2525,"Financial Analysts","343A02","Investment analysis"
2532,"Marketing Consutants","343A02","Investment analysis"
2533,"Stockbrokers","343A02","Investment analysis"
2525,"Financial Analysts","343I01","Investments and securities"
2532,"Marketing Consutants","343I01","Investments and securities"
2533,"Stockbrokers","343I01","Investments and securities"
2142,"Civil Engineers","582I03","Irrigation and drainage (construction)"
2035,"Social Sciences Researchers","321J01","Journalism"
2347,"Humanities Professors","321J01","Journalism"
2611,"Journalists","321J01","Journalism"
2616,"Editors","321J01","Journalism"
2617,"Announcers","321J01","Journalism"
2148,"Cartographers and Surveyers","582A02","Land survey"
2148,"Cartographers and Surveyers","582A03","Land survey and mapping"
2331,"Vocational Teachers","146F38","Land survey teacher education"
2332,"Vocational Instructors","146F38","Land survey teacher education"
2141,"Architects and Planners","581P01","Landscape gardening"
2346,"Language Professors","220L01","Languages"
2321,"High School Teachers","145F12","Languages teacher education"
2614,"Linguists","222L01","Languages/foreign modern literatures"
1113,"Magistrates","380D01","Law"
2035,"Social Sciences Researchers","380D01","Law"
2347,"Humanities Professors","380D01","Law"
2410,"Lawyers","380D01","Law"
2412,"Attorneys","380D01","Law"
2413,"Notaries and Registrars","380D01","Law"
2422,"Public Ministry","380D01","Law"
2423,"Police Chiefs","380D01","Law"
2424,"Public Defenders","380D01","Law"
2543,"Labor Inspectors","380D01","Law"
2523,"Executives","346S05","Legal secretary training"
2346,"Language Professors","220L04","Linguistics"
2614,"Linguists","222L03","Linguistics of foreign languages"
2614,"Linguists","223L04","Linguistics of vernacular language"
2321,"High School Teachers","145F22","Linguistics teacher education"
1232,"Human Resource Directors","345A01","Management"
1422,"Human Resource Managers","345A01","Management"
2012,"Metrologist","345A01","Management"
2035,"Social Sciences Researchers","345A01","Management"
2348,"Economics Professors","345A01","Management"
2521,"Administrators","345A01","Management"
2524,"Human Resources Professionals","345A01","Management"
4102,"Financial Supervisors","345A01","Management"
1232,"Human Resource Directors","345A04","Management of human resources"
1422,"Human Resource Managers","345A04","Management of human resources"
2524,"Human Resources Professionals","345A04","Management of human resources"
2030,"Biology Researchers","421B03","Marine biology"
2211,"Biologists","421B03","Marine biology"
2344,"Health Science Professors","421B03","Marine biology"
2031,"Natural Science Researchers","443C02","Marine science"
2531,"Public Relations","342P01","Market survey"
2531,"Public Relations","342M02","Marketing"
2531,"Public Relations","342M01","Marketing and advertising"
2032,"Engineering Researchers",520E04,"Materials engineering"
2146,"Material Science Engineers",520E04,"Materials engineering"
2343,"Architecture and Engineering Professors",520E04,"Materials engineering"
2145,"Chemical Engineers",543E03,"Materials engineering - plastic"
2145,"Chemical Engineers",543E01,"Materials engineering - wood"
2145,"Chemical Engineers",543E05,"Materials production engineering"
2031,"Natural Science Researchers",462E03,"Mathematical statistics (theory)"
2112,"Statisticians",462E03,"Mathematical statistics (theory)"
2341,"Math Professors",462E03,"Mathematical statistics (theory)"
2031,"Natural Science Researchers","461M01","Mathematics"
2111,"Mathematicians","461M01","Mathematics"
2341,"Math Professors","461M01","Mathematics"
2321,"High School Teachers","145F18","Mathematics teacher education"
2222,"Food Engineers","541P05","Meat processing"
2032,"Engineering Researchers",521E05,"Mechanical engineering"
2144,"Mechanical Engineers",521E05,"Mechanical engineering"
2343,"Architecture and Engineering Professors",521E05,"Mechanical engineering"
2032,"Engineering Researchers",521E03,"Mechanical industrial engineering"
2144,"Mechanical Engineers",521E03,"Mechanical industrial engineering"
2343,"Architecture and Engineering Professors",521E03,"Mechanical industrial engineering"
2144,"Mechanical Engineers","521M01","Mechanical maintenance"
2144,"Mechanical Engineers","521T03","Mechanical technology"
2144,"Mechanical Engineers","521M02","Mechanics"
2331,"Vocational Teachers","146F19","Mechanics teacher education"
2332,"Vocational Instructors","146F19","Mechanics teacher education"
2021,"Electromachanical Engineers",523E10,"Mechatronics engineering"
2032,"Engineering Researchers",523E10,"Mechatronics engineering"
2144,"Mechanical Engineers",523E10,"Mechatronics engineering"
2343,"Architecture and Engineering Professors",523E10,"Mechatronics engineering"
2021,"Electromachanical Engineers","523T04","Mechatronics technology"
2144,"Mechanical Engineers","523T04","Mechatronics technology"
2033,"Health Science Researchers","721C02","Medical science"
2231,"Doctors","721C02","Medical science"
2344,"Health Science Professors","721C02","Medical science"
2523,"Executives","346S06","Medical secretary training"
2033,"Health Science Researchers","721M01","Medicine"
2231,"Doctors","721M01","Medicine"
2251,"Clinicians","721M01","Medicine"
2253,"Doctors in Diagnostics and Therapy","721M01","Medicine"
2344,"Health Science Professors","721M01","Medicine"
2543,"Labor Inspectors","721M01","Medicine"
2142,"Civil Engineers",582E13,"Metal structures (for construction)"
2032,"Engineering Researchers",521E06,"Metallurgical engineering"
2144,"Mechanical Engineers",521E06,"Metallurgical engineering"
2146,"Material Science Engineers",521E06,"Metallurgical engineering"
2343,"Architecture and Engineering Professors",521E06,"Metallurgical engineering"
2032,"Engineering Researchers",521E02,"Metallurgical production engineering"
2144,"Mechanical Engineers",521E02,"Metallurgical production engineering"
2146,"Material Science Engineers",521E02,"Metallurgical production engineering"
2343,"Architecture and Engineering Professors",521E02,"Metallurgical production engineering"
2144,"Mechanical Engineers","521T02","Metallurgical technology"
2146,"Material Science Engineers","521T02","Metallurgical technology"
2031,"Natural Science Researchers","443M01","Meteorology"
2133,"Astronomists","443M01","Meteorology"
2134,"Geologists","443M01","Meteorology"
2030,"Biology Researchers","421M01","Microbiology"
2211,"Biologists","421M01","Microbiology"
2344,"Health Science Professors","421M01","Microbiology"
2032,"Engineering Researchers",544E02,"Mine production engineering"
2147,"Mining Engineers",544E02,"Mine production engineering"
